19,37.8138392,-122.4397348,37.8134603,-122.4394154
19.2,37.8138631,-122.4396964,37.8134808,-122.4393741
19.4,37.8138869,-122.4396581,37.8135005,-122.4393323
19.6,37.8139109,-122.4396199,37.8135194,-122.4392898
19.8,37.8139349,-122.4395817,37.8135375,-122.4392465
20,37.8139593,-122.4395436,37.813554,-122.4392027
20.2,37.8139838,-122.4395057,37.8135707,-122.4391582
20.4,37.814008,-122.4394675,37.8135875,-122.4391137
20.6,37.8140324,-122.4394296,37.8136043,-122.439069
20.8,37.8140566,-122.4393915,37.8136212,-122.4390244
21,37.8140809,-122.4393537,37.8136379,-122.4389805
21.2,37.8141056,-122.4393161,37.8136559,-122.438937
21.4,37.8141298,-122.4392782,37.8136753,-122.4388949
21.6,37.8141534,-122.4392397,37.8136957,-122.4388541
21.8,37.8141767,-122.4392008,37.8137166,-122.4388138
22,37.8141995,-122.4391615,37.8137374,-122.4387746
22.2,37.8142221,-122.4391218,37.813759,-122.4387357
22.4,37.8142446,-122.4390821,37.8137806,-122.4386971
22.6,37.8142671,-122.4390426,37.8138022,-122.4386585
22.8,37.8142902,-122.4390033,37.8138236,-122.4386197
23,37.8143135,-122.4389643,37.8138438,-122.4385807
23.2,37.814337,-122.4389255,37.8138644,-122.4385413
23.4,37.8143605,-122.4388866,37.8138847,-122.4385014
23.6,37.814384,-122.4388479,37.8139048,-122.4384613
23.8,37.8144076,-122.4388091,37.8139247,-122.438421
24,37.8144312,-122.4387707,37.813944,-122.4383808
24.2,37.814455,-122.4387323,37.8139639,-122.4383404
24.4,37.8144789,-122.4386939,37.8139844,-122.4383004
24.6,37.8145028,-122.4386556,37.8140051,-122.4382605
24.8,37.8145267,-122.4386172,37.814026,-122.4382211
25,37.8145505,-122.4385788,37.814047,-122.4381823
25.2,37.8145742,-122.4385402,37.814069,-122.4381437
25.4,37.8145978,-122.4385016,37.8140914,-122.4381057
25.6,37.8146212,-122.4384627,37.8141144,-122.4380682
25.8,37.8146445,-122.4384237,37.8141378,-122.438031
26,37.8146679,-122.4383848,37.8141607,-122.4379941
26.2,37.8146918,-122.4383464,37.8141842,-122.4379568
26.4,37.8147159,-122.4383083,37.8142077,-122.4379192
26.6,37.8147399,-122.4382703,37.8142309,-122.4378815
26.8,37.8147639,-122.438232,37.8142543,-122.4378437
27,37.8147878,-122.4381936,37.8142771,-122.4378059
27.2,37.8148117,-122.438155,37.8143001,-122.4377675
27.4,37.8148353,-122.4381161,37.8143231,-122.437729
27.6,37.8148589,-122.4380773,37.8143461,-122.4376905
27.8,37.8148826,-122.4380387,37.814369,-122.4376518
28,37.8149061,-122.438,37.8143912,-122.437613
28.2,37.8149297,-122.4379615,37.8144134,-122.4375734
28.4,37.814953,-122.437923,37.8144356,-122.4375334
28.6,37.8149765,-122.4378846,37.8144574,-122.4374931
28.8,37.8150001,-122.4378465,37.8144789,-122.4374524
29,37.8150237,-122.4378082,37.8144996,-122.4374117
29.2,37.8150477,-122.4377701,37.8145209,-122.4373711
29.4,37.8150718,-122.4377322,37.8145424,-122.4373307
29.6,37.8150962,-122.4376946,37.814564,-122.4372905
29.8,37.8151206,-122.4376571,37.8145861,-122.437251
30,37.8151447,-122.4376195,37.8146085,-122.4372127
30.2,37.8151686,-122.4375814,37.8146321,-122.4371752
30.4,37.815192,-122.4375431,37.814656,-122.4371382
30.6,37.8152154,-122.4375047,37.8146798,-122.4371014
30.8,37.8152388,-122.4374666,37.8147035,-122.4370644
31,37.8152625,-122.4374287,37.8147267,-122.4370272
31.2,37.8152864,-122.437391,37.8147502,-122.43699
31.4,37.8153104,-122.4373535,37.8147739,-122.436953
31.6,37.8153344,-122.4373159,37.8147974,-122.4369158
31.8,37.8153582,-122.437278,37.8148211,-122.4368785
32,37.8153819,-122.43724,37.8148449,-122.4368416
32.2,37.8154054,-122.4372015,37.8148693,-122.4368051
32.4,37.8154285,-122.4371628,37.8148947,-122.4367697
32.6,37.8154514,-122.437124,37.8149205,-122.436735
32.8,37.8154744,-122.4370853,37.8149465,-122.4367004
33,37.8154973,-122.4370468,37.8149724,-122.4366654
33.2,37.8155206,-122.4370084,37.8149988,-122.4366307
33.4,37.8155439,-122.4369704,37.8150256,-122.4365962
33.6,37.8155675,-122.4369328,37.8150527,-122.4365618
33.8,37.815591,-122.4368954,37.8150799,-122.4365272
34,37.8156145,-122.436858,37.8151072,-122.4364918
34.2,37.815638,-122.4368204,37.8151346,-122.4364567
34.4,37.8156613,-122.436783,37.8151625,-122.4364223
34.6,37.8156848,-122.4367459,37.8151907,-122.4363884
34.8,37.8157088,-122.4367095,37.8152189,-122.4363548
35,37.8157329,-122.4366732,37.8152474,-122.436321
35.2,37.8157575,-122.4366368,37.8152754,-122.4362872
35.4,37.8157818,-122.4366004,37.8153033,-122.4362531
35.6,37.8158062,-122.436564,37.8153308,-122.4362186
35.8,37.8158306,-122.4365274,37.8153577,-122.4361834
36,37.815855,-122.4364909,37.8153842,-122.4361472
36.2,37.8158797,-122.4364543,37.8154097,-122.4361103
36.4,37.8159041,-122.4364179,37.8154345,-122.4360728
36.6,37.8159285,-122.4363817,37.8154585,-122.4360346
36.8,37.8159527,-122.4363454,37.8154816,-122.4359957
37,37.8159768,-122.436309,37.8155037,-122.4359556
37.2,37.816001,-122.4362722,37.8155253,-122.4359155
37.4,37.8160247,-122.4362353,37.8155468,-122.4358751
37.6,37.816048,-122.4361981,37.8155683,-122.4358347
37.8,37.8160714,-122.4361611,37.8155903,-122.4357948
38,37.8160951,-122.4361247,37.8156133,-122.4357556
38.2,37.816119,-122.4360882,37.8156371,-122.4357177
38.4,37.8161427,-122.4360521,37.8156617,-122.4356808
38.6,37.8161664,-122.436016,37.815687,-122.4356448
38.8,37.8161902,-122.4359801,37.8157131,-122.4356097
39,37.8162139,-122.435944,37.8157408,-122.4355762
39.2,37.8162379,-122.4359078,37.8157685,-122.4355436
39.4,37.8162621,-122.435872,37.815796,-122.4355109
39.6,37.8162865,-122.4358364,37.8158234,-122.4354781
39.8,37.816311,-122.435801,37.8158507,-122.435445
40,37.8163358,-122.4357657,37.8158782,-122.4354118
40.2,37.8163608,-122.43573,37.8159049,-122.435378
40.4,37.8163857,-122.4356945,37.8159312,-122.4353437
40.6,37.8164104,-122.4356591,37.8159568,-122.4353085
40.8,37.8164351,-122.4356236,37.8159818,-122.4352727
41,37.8164596,-122.435588,37.816007,-122.4352369
41.2,37.8164841,-122.4355518,37.8160305,-122.4351996
41.4,37.8165083,-122.4355153,37.8160538,-122.4351623
41.6,37.8165325,-122.4354788,37.8160773,-122.4351253
41.8,37.8165567,-122.4354423,37.8161012,-122.4350888
42,37.8165813,-122.4354062,37.816127,-122.4350538
42.2,37.8166062,-122.4353703,37.8161526,-122.4350192
42.4,37.8166314,-122.435335,37.8161793,-122.4349858
42.6,37.8166569,-122.4353001,37.8162066,-122.4349535
42.8,37.8166828,-122.4352656,37.8162341,-122.4349212
43,37.8167086,-122.435231,37.8162627,-122.4348897
43.2,37.8167344,-122.435196,37.8162901,-122.4348572
43.4,37.8167601,-122.435161,37.8162901,-122.4348572
43.6,37.8167859,-122.435126,37.8163172,-122.4348247
43.8,37.8168113,-122.4350911,37.816344,-122.4347916
44,37.8168367,-122.435056,37.8163705,-122.434758
44.2,37.8168621,-122.4350206,37.8163974,-122.4347246
44.4,37.8168874,-122.4349853,37.8164229,-122.4346899
44.6,37.8169125,-122.4349501,37.8164478,-122.4346546
44.8,37.8169377,-122.4349151,37.8164722,-122.4346185
45,37.8169629,-122.4348802,37.8164963,-122.4345821
45.2,37.8169879,-122.4348453,37.8165213,-122.4345462
45.4,37.8170129,-122.4348105,37.8165454,-122.4345091
45.6,37.8170377,-122.4347757,37.8165698,-122.4344723
45.8,37.8170626,-122.434741,37.816595,-122.4344367
46,37.8170876,-122.4347064,37.8166207,-122.4344018
46.2,37.8171128,-122.4346718,37.8166478,-122.4343687
46.4,37.8171376,-122.4346371,37.8166742,-122.4343345
46.6,37.8171623,-122.4346025,37.8167007,-122.4343006
46.8,37.8171872,-122.434568,37.8167269,-122.4342661
47,37.8172121,-122.4345334,37.8167528,-122.4342311
47.2,37.8172371,-122.4344988,37.8167798,-122.4341978
47.4,37.8172622,-122.4344643,37.8168056,-122.4341632
47.6,37.8172874,-122.4344298,37.816831,-122.4341281
47.8,37.8173126,-122.434395,37.8168557,-122.434092
48,37.8173377,-122.4343601,37.81688,-122.4340552
48.2,37.8173631,-122.4343254,37.8169049,-122.4340193
48.4,37.8173882,-122.4342905,37.8169286,-122.4339818
48.6,37.8174134,-122.4342555,37.8169521,-122.4339442
48.8,37.8174388,-122.4342205,37.8169754,-122.4339065
49,37.8174641,-122.4341857,37.8169984,-122.4338688
49.2,37.8174898,-122.4341511,37.8170228,-122.4338325
49.4,37.8175154,-122.4341165,37.8170463,-122.4337955
49.6,37.8175413,-122.4340822,37.81707,-122.4337594
49.8,37.8175674,-122.4340481,37.8170939,-122.4337238
50,37.8175938,-122.4340144,37.8171179,-122.4336885
50.2,37.8176202,-122.4339807,37.8171432,-122.4336545
50.4,37.8176464,-122.4339471,37.8171674,-122.4336195
50.6,37.8176723,-122.4339134,37.8171918,-122.4335848
50.8,37.817698,-122.4338792,37.8172165,-122.4335502
51,37.8177233,-122.4338446,37.8172415,-122.4335157
51.2,37.8177486,-122.4338098,37.8172679,-122.4334824
51.4,37.8177734,-122.4337747,37.8172931,-122.4334475
51.6,37.8177981,-122.4337394,37.8173184,-122.4334123
51.8,37.8178228,-122.4337042,37.8173438,-122.4333768
52,37.8178473,-122.4336691,37.8173689,-122.433341
52.2,37.817872,-122.4336338,37.8173946,-122.4333056
52.4,37.8178965,-122.4335985,37.8174188,-122.4332688
52.6,37.817921,-122.4335632,37.8174427,-122.4332316
52.8,37.8179453,-122.4335275,37.8174661,-122.4331943
53,37.8179696,-122.4334918,37.8174892,-122.4331567
53.2,37.8179939,-122.433456,37.8175127,-122.4331196
53.4,37.8180177,-122.4334201,37.8175344,-122.4330813
53.6,37.8180416,-122.4333844,37.8175556,-122.4330425
53.8,37.8180651,-122.4333484,37.8175761,-122.4330034
54,37.8180885,-122.4333121,37.8175967,-122.4329647
54.2,37.818112,-122.433276,37.8176182,-122.4329264
54.4,37.8181356,-122.4332396,37.8176391,-122.4328877
54.6,37.8181595,-122.4332035,37.8176608,-122.4328501
54.8,37.8181836,-122.4331677,37.8176836,-122.4328139
55,37.8182082,-122.4331322,37.8177076,-122.4327788
55.2,37.8182329,-122.433097,37.8177328,-122.4327449
55.4,37.8182574,-122.4330619,37.8177575,-122.4327105
55.6,37.8182818,-122.4330266,37.8177825,-122.4326761
55.8,37.818306,-122.4329913,37.8178075,-122.4326415
56,37.8183302,-122.432956,37.8178328,-122.4326072
56.2,37.8183548,-122.432921,37.8178592,-122.4325737
56.4,37.8183792,-122.4328863,37.8178846,-122.4325399
56.6,37.8184037,-122.432852,37.8179096,-122.432506
56.8,37.8184281,-122.4328181,37.8179343,-122.4324713
57,37.8184522,-122.4327838,37.8179584,-122.4324363
57.2,37.8184765,-122.43275,37.8179833,-122.4324018
57.4,37.8185009,-122.4327165,37.8180074,-122.4323673
57.6,37.8185251,-122.4326827,37.8180314,-122.4323332
57.8,37.8185494,-122.4326489,37.8180546,-122.4322987
58,37.8185737,-122.4326152,37.8180777,-122.432264
58.2,37.818598,-122.4325815,37.8181008,-122.4322288
58.4,37.8186224,-122.4325479,37.8181235,-122.4321936
58.6,37.8186471,-122.4325145,37.8181464,-122.4321585
58.8,37.8186718,-122.432481,37.8181696,-122.4321236
59,37.8186966,-122.4324477,37.8181938,-122.4320898
59.2,37.8187215,-122.4324146,37.8182188,-122.4320565
59.4,37.8187465,-122.4323817,37.8182441,-122.432024
59.6,37.8187716,-122.432349,37.8182695,-122.4319915
59.8,37.8187969,-122.4323163,37.8182951,-122.4319594
60,37.8188223,-122.4322838,37.8183205,-122.4319268
60.2,37.8188476,-122.4322512,37.818346,-122.4318935
60.4,37.8188728,-122.4322185,37.818371,-122.4318602
60.6,37.8188979,-122.432186,37.8183958,-122.4318268
60.8,37.8189229,-122.4321534,37.8184204,-122.4317932
61,37.8189478,-122.4321207,37.8184447,-122.4317594
61.2,37.8189725,-122.4320878,37.8184689,-122.4317248
61.4,37.8189973,-122.4320548,37.8184925,-122.4316902
61.6,37.819022,-122.4320219,37.8185156,-122.4316554
61.8,37.8190465,-122.4319889,37.8185386,-122.4316202
62,37.8190709,-122.4319558,37.8185614,-122.431585
62.2,37.8190952,-122.4319229,37.8185841,-122.4315494
62.4,37.8191191,-122.4318896,37.8186067,-122.4315146
62.6,37.8191428,-122.4318559,37.8186292,-122.43148
62.8,37.8191663,-122.4318224,37.8186516,-122.4314456
63,37.8191894,-122.4317886,37.818674,-122.4314115
63.2,37.8192124,-122.4317546,37.8186963,-122.4313772
63.4,37.8192354,-122.4317206,37.8187185,-122.4313434
63.6,37.8192584,-122.4316867,37.8187407,-122.4313098
63.8,37.8192814,-122.4316528,37.8187634,-122.4312769
64,37.8193047,-122.4316188,37.8187866,-122.4312446
64.2,37.8193281,-122.431585,37.8188104,-122.4312124
64.4,37.8193516,-122.4315516,37.8188346,-122.4311806
64.6,37.8193755,-122.4315183,37.8188589,-122.4311489
64.8,37.8193994,-122.4314853,37.8188835,-122.4311172
65,37.8194234,-122.4314523,37.8189084,-122.4310857
65.2,37.8194474,-122.431419,37.8189337,-122.4310545
65.4,37.8194715,-122.4313858,37.8189598,-122.4310244
65.6,37.8194956,-122.4313525,37.8189864,-122.4309953
65.8,37.8195197,-122.4313191,37.8190132,-122.4309666
66,37.8195438,-122.4312856,37.8190404,-122.4309384
66.2,37.8195676,-122.4312521,37.819068,-122.4309104
66.4,37.8195917,-122.4312189,37.8190957,-122.4308826
66.6,37.8196158,-122.431186,37.8191233,-122.430855
66.8,37.8196397,-122.4311529,37.8191508,-122.4308272
67,37.8196636,-122.4311199,37.8191781,-122.4307991
67.2,37.8196874,-122.4310869,37.8192051,-122.4307698
67.4,37.8197115,-122.4310541,37.8192318,-122.4307405
67.6,37.8197356,-122.4310218,37.8192579,-122.4307106
67.8,37.8197597,-122.4309895,37.8192833,-122.4306799
68,37.8197836,-122.4309572,37.8193081,-122.4306483
68.2,37.8198075,-122.4309249,37.8193324,-122.4306156
68.4,37.8198315,-122.4308924,37.8193559,-122.4305825
68.6,37.8198553,-122.4308598,37.819379,-122.4305488
68.8,37.8198792,-122.4308274,37.8194018,-122.4305147
69,37.8199029,-122.4307951,37.8194248,-122.4304811
69.2,37.8199267,-122.4307629,37.819448,-122.4304474
69.4,37.8199508,-122.4307312,37.8194717,-122.4304146
69.6,37.8199748,-122.4306996,37.8194958,-122.4303824
